word,IPA,TRSVG,TRSVG_split,CV
allagriá,alagɾiaː,VRVTRVV,V.RV.TRV.V,V.CV.CCV.V
allagre,alagɾe,VRVTRV,V.RV.TRV,V.CV.CCV
allagroso,alagɾozo,VRVTRVSV,V.RV.TRV.SV,V.CV.CCV.CV
allegrioso,alegɾiozo,VRVTRVVSV,V.RV.TRV.V.SV,V.CV.CCV.V.CV
allagria,alagɾia,VRVTRVV,V.RV.TRV.V,V.CV.CCV.V
allegri,alegɾi,VRVTRV,V.RV.TRV,V.CV.CCV
almári,almaːɾi,VRRVRV,VR.RV.RV,VC.CV.CV
almazem,almazem,VRRVSVR,VR.RV.SVR,VC.CV.CVC
almóça,almoːsa,VRRVSV,VR.RV.SV,VC.CV.CV
alqumas,alkumas,VRTVRVS,VR.TV.RVS,VC.CV.CVC
altividade,altiʋidade,VRTVTVTVTV,VR.TV.TV.TV.TV,VC.CV.CV.CV.CV
alumado,alumado,VRVRVTV,V.RVRV.TV,V.CVCV.CV
aluminá,aluminaː,VRVRVRV,V.RVRV.RV,V.CVCV.CV
alverção,alʋeɾsaːo,VRTVRSVV,VR.TVR.SV.V,VC.CVC.CV.V
alvorsà,alʋoɾsaː,VRTVRSV,VR.TVR.SV,VC.CVC.CV
alversá,alʋeɾsaː,VRTVRSV,VR.TVR.SV,VC.CVC.CV
alvoroção,alʋoɾosaːo,VRTVRVSVV,VR.TV.RV.SV.V,VC.CV.CV.CV.V
alvroço,alʋɾoso,VRTRVSV,VR.TRV.SV,VC.CCV.CV
causedor,kauzedoɾ,TVGSVTVR,TVG.SV.TVR,CVV.CV.CVC
depalmião,depalmiaːo,TVTVRRVVV,TV.TVR.RV.VV,CV.CVC.CV.VV
amanhão,amaɲaːo,VRVRVV,V.RVRV.V,V.CVCV.V
aminhão,amiɲaːo,VRVRVV,V.RVRV.V,V.CVCV.V
amião,amiaːo,VRVVV,V.RV.VV,V.CV.VV
amiam,amiam,VRVVR,V.RV.VR,V.CV.VC
amaroso,amaɾozo,VRVRVSV,V.RVRV.SV,V.CVCV.CV
ameroso,ameɾozo,VRVRVSV,V.RVRV.SV,V.CVCV.CV
amoro,amoɾo,VRVRV,V.RVRV,V.CVCV
ambal,ambal,VRTVR,VR.TVR,VC.CVC
améças,ameːsas,VRVSVS,V.RV.SVS,V.CV.CVC
amiçan,amisan,VRVSVR,V.RV.SVR,V.CV.CVC
amizade,amizade,VRVSVTV,V.RV.SV.TV,V.CV.CV.CV
amos,amos,VRVS,V.RVS,V.CVC
ámper,aːmpeɾ,VRTVR,VR.TVR,VC.CVC
ámperámper,aːmpeɾaːmpeɾ,VRTVRVRTVR,VR.TV.RVR.TVR,VC.CV.CVC.CVC
ampér,ampeːɾ,VRTVR,VR.TVR,VC.CVC
amportà,ampoɾtaː,VRTVRTV,VR.TVR.TV,VC.CVC.CV
andà,andaː,VRTV,VR.TV,VC.CV
andavè,andaʋeː,VRTVTV,VR.TV.TV,VC.CV.CV
anela,anela,VRVRV,V.RVRV,V.CVCV
anima,anima,VRVRV,V.RVRV,V.CVCV
anjo chusmos,and̠ʒo t̠ʃuzmos,VRTV TVSRVS,VR.TV TVS.RVS,VC.CV CVC.CVC
anjo cuidador,and̠ʒo kuidadoɾ,VRTV TVVTVTVR,VR.TV TV.V.TV.TVR,VC.CV CV.V.CV.CVC
anjo fallas,and̠ʒo falas,VRTV TVRVS,VR.TV TV.RVS,VC.CV CV.CVC
anjo rosto,and̠ʒo ɾosto,VRTV RVSTV,VR.TV RVS.TV,VC.CV CVC.CV
anjóla,and̠ʒoːla,VRTVRV,VR.TV.RV,VC.CV.CV
ankerà,ankeɾaː,VRTVRV,VR.TV.RV,VC.CV.CV
ancrà,ankɾaː,VRTRV,VR.TRV,VC.CCV
anno casa,anno kaza,VRRV TVSV,VR.RV TV.SV,VC.CV CV.CV
anno dia,anno dia,VRRV TVV,VR.RV TV.V,VC.CV CV.V
anoute,anoute,VRVGTV,V.RVG.TV,V.CVV.CV
anciado,ansiado,VRSVVTV,VR.SV.V.TV,VC.CV.V.CV
ansque,anske,VRSTV,VRS.TV,VCC.CV
antiphono,antifono,VRTVTVRV,VR.TV.TV.RV,VC.CV.CV.CV
anxiamente,anʃiamente,VRTVVRVRTV,VR.TV.V.RVR.TV,VC.CV.V.CVC.CV
apertamento,apeɾtamento,VTVRTVRVRTV,V.TVR.TV.RVR.TV,V.CVC.CV.CVC.CV
apartamento,apaɾtamento,VTVRTVRVRTV,V.TVR.TV.RVR.TV,V.CVC.CV.CVC.CV
apinhá,apiɲaː,VTVRV,V.TV.RV,V.CV.CV
applicação,aplikasaːo,VTRVTVSVV,V.TRV.TV.SV.V,V.CCV.CV.CV.V
applicaçan,aplikasan,VTRVTVSVR,V.TRV.TV.SVR,V.CCV.CV.CVC
approval,apɾoʋal,VTRVTVR,V.TRV.TVR,V.CCV.CVC
april,apɾil,VTRVR,V.TRVR,V.CCVC
aquél,akeːl,VTVR,V.TVR,V.CVC
aquelle,akele,VTVRV,V.TV.RV,V.CV.CV
aquelvide,akelʋide,VTVRTVTV,V.TVR.TV.TV,V.CVC.CV.CV
arco,aɾko,VRTV,VR.TV,VC.CV
ária,aːɾia,VRVV,V.RV.V,V.CV.V
arià,aɾiaː,VRVV,V.RV.V,V.CV.V
ariba,aɾiba,VRVTV,V.RV.TV,V.CV.CV
aromatizàrs,aɾomatizaːɾs,VRVRVTVSVRS,V.RVRV.TV.SVRS,V.CVCV.CV.CVCC
aros,aɾos,VRVS,V.RVS,V.CVC
artaple,aɾtaple,VRTVTRV,VR.TV.TRV,VC.CV.CCV
ártei,aːɾtei,VRTVG,VR.TVG,VC.CVV
articulo,aɾtikulo,VRTVTVRV,VR.TV.TV.RV,VC.CV.CV.CV
artifiço,aɾtifiso,VRTVTVSV,VR.TV.TV.SV,VC.CV.CV.CV
artilháris,aɾtiʎaːɾis,VRTVRVRVS,VR.TV.RVRVS,VC.CV.CVCVC
ásper,aːspeɾ,VSTVR,VS.TVR,VC.CVC
asperà,aspeɾaː,VSTVRV,VS.TV.RV,VC.CV.CV
asperdade,aspeɾdade,VSTVRTVTV,VS.TVR.TV.TV,VC.CVC.CV.CV
assi,asi,VSV,V.SV,V.CV
assilai,asilai,VSVRVV,V.SV.RV.V,V.CV.CV.V
assilei,asilei,VSVRVG,V.SV.RVG,V.CV.CVV
assitanto,asitanto,VSVTVRTV,V.SV.TVR.TV,V.CV.CVC.CV
astanto,astanto,VSTVRTV,VS.TVR.TV,VC.CVC.CV
assino,asino,VSVRV,V.SV.RV,V.CV.CV
assofran,asofɾan,VSVTRVR,V.SV.TRVR,V.CV.CCVC
assofrà,asofɾaː,VSVTRV,V.SV.TRV,V.CV.CCV
atà,ataː,VTV,V.TV,V.CV
atarde,ataɾde,VTVRTV,V.TVR.TV,V.CVC.CV
atchà,at̠ʃaː,VTV,V.TV,V.CV
até,ateː,VTV,V.TV,V.CV
atramento,atɾamento,VTRVRVRTV,V.TRV.RVR.TV,V.CCV.CVC.CV
atramentá,atɾamentaː,VTRVRVRTV,V.TRV.RVR.TV,V.CCV.CVC.CV
atrevimentá,atɾeʋimentaː,VTRVTVRVRTV,V.TRV.TV.RVR.TV,V.CCV.CV.CVC.CV
atténcia,atːeːnsia,VTVRSVV,V.TVR.SV.V,V.CVC.CV.V
atténcè,atːeːnseː,VTVRSV,V.TVR.SV,V.CVC.CV
attermesan,atːeɾmezan,VTVRRVSVR,V.TVR.RV.SVR,V.CVC.CV.CVC
audénci,audeːnsi,VGTVRSV,VG.TVR.SV,VV.CVC.CV
audia,audia,VGTVV,VG.TV.V,VV.CV.V
ógost,oːgost,VTVST,V.TVS.T,V.CVC.C
avantagem,aʋantad̠ʒem,VTVRTVTVR,V.TVR.TV.TVR,V.CVC.CV.CVC
avelho,aʋeʎo,VTVRV,V.TV.RV,V.CV.CV
avená,aʋenaː,VTVRV,V.TV.RV,V.CV.CV
avoà,aʋoaː,VTVV,V.TV.V,V.CV.V
avogado,aʋogado,VTVTVTV,V.TV.TV.TV,V.CV.CV.CV
avô mai,aʋoː mai,VTV RVV,V.TV RV.V,V.CV CV.V
avô pai,aʋoː pai,VTV TVV,V.TV TV.V,V.CV CV.V
azéte,azeːte,VSVTV,V.SV.TV,V.CV.CV
aziete,aziete,VSVVTV,V.SV.V.TV,V.CV.V.CV
azeitero,azeiteɾo,VSVGTVRV,V.SVG.TV.RV,V.CVV.CV.CV
azietero,azieteɾo,VSVVTVRV,V.SV.V.TV.RV,V.CV.V.CV.CV
baas,bas,TVS,TVS,CVC
bàbaro,baːbaɾo,TVTVRV,TV.TV.RV,CV.CV.CV
bêbi,beːbi,TVTV,TV.TV,CV.CV
baclà,baklaː,TVTRV,TV.TRV,CV.CCV
baclador,bakladoɾ,TVTRVTVR,TV.TRV.TVR,CV.CCV.CVC
bacladura,bakladuɾa,TVTRVTVRV,TV.TRV.TV.RV,CV.CCV.CV.CV
bacaldura,bakalduɾa,TVTVRTVRV,TV.TVR.TV.RV,CV.CVC.CV.CV
bafa,bafa,TVTV,TV.TV,CV.CV
bailo,bailo,TVVRV,TV.V.RV,CV.V.CV
baiso,baizo,TVVSV,TV.V.SV,CV.V.CV
baço,baso,TVSV,TV.SV,CV.CV
bassá,basaː,TVSV,TV.SV,CV.CV
basséza,baseːza,TVSVSV,TV.SV.SV,CV.CV.CV
balança,balansa,TVRVRSV,TV.RVR.SV,CV.CVC.CV
balmaçado,balmasado,TVRRVSVTV,TVR.RV.SV.TV,CVC.CV.CV.CV
balmo,balmo,TVRRV,TVR.RV,CVC.CV
bend,bend,TVRT,TVR.T,CVC.C
banda dentro,banda dentɾo,TVRTV TVRTRV,TVR.TV TVR.TRV,CVC.CV CVC.CCV
banda fora,banda foɾa,TVRTV TVRV,TVR.TV TV.RV,CVC.CV CV.CV
bandérè,bandeːɾeː,TVRTVRV,TVR.TV.RV,CVC.CV.CV
bandeya,bandeja,TVRTVRV,TVR.TV.RV,CVC.CV.CV
bangià,band̠ʒiaː,TVRTVV,TVR.TV.V,CVC.CV.V
bank,bank,TVRT,TVR.T,CVC.C
benkrut,benkɾut,TVRTRVT,TVR.TRV.T,CVC.CCV.C
banths,bants,TVRTS,TVR.TS,CVC.CC
bariga,baɾiga,TVRVTV,TV.RV.TV,CV.CV.CV
baro,baɾo,TVRV,TV.RV,CV.CV
báru,baːɾu,TVRV,TV.RV,CV.CV
baro casa,baɾo kaza,TVRV TVSV,TV.RV TV.SV,CV.CV CV.CV
barrato,barato,TVRVTV,TV.RV.TV,CV.CV.CV
barrê,bareː,TVRV,TV.RV,CV.CV
barido,baɾido,TVRVTV,TV.RV.TV,CV.CV.CV
bàsin,baːzin,TVSVR,TV.SVR,CV.CVC
bassóra,basoːɾa,TVSVRV,TV.SV.RV,CV.CV.CV
bastanto,bastanto,TVSTVRTV,TVS.TVR.TV,CVC.CVC.CV
bàtica,baːtika,TVTVTV,TV.TV.TV,CV.CV.CV
batrai,batɾai,TVTRVV,TV.TRV.V,CV.CCV.V
battà,batːaː,TVTV,TV.TV,CV.CV
battalho,batːaʎo,TVTVRV,TV.TV.RV,CV.CV.CV
batte,batːe,TVTV,TV.TV,CV.CV
bautismo,bautizmo,TVGTVSRV,TVG.TVS.RV,CVV.CVC.CV
bautizá,bautizaː,TVGTVSV,TVG.TV.SV,CVV.CV.CV
bautista,bautista,TVGTVSTV,TVG.TVS.TV,CVV.CVC.CV
bai,bai,TVV,TV.V,CV.V
bei,bei,TVG,TVG,CVV
bazar,bazaɾ,TVSVR,TV.SVR,CV.CVC
bazaara,bazaɾa,TVSVRV,TV.SV.RV,CV.CV.CV
beberajo,bebeɾad̠ʒo,TVTVRVTV,TV.TV.RV.TV,CV.CV.CV.CV
beberai,bebeɾai,TVTVRVV,TV.TV.RV.V,CV.CV.CV.V
beberajochaps,bebeɾad̠ʒot̠ʃaps,TVTVRVTVTVTS,TV.TV.RV.TV.TV.TS,CV.CV.CV.CV.CV.CC
beberão,bebeɾaːo,TVTVRVV,TV.TV.RV.V,CV.CV.CV.V
babarão,babaɾaːo,TVTVRVV,TV.TV.RV.V,CV.CV.CV.V
bebrão,bebɾaːo,TVTRVV,TV.TRV.V,CV.CCV.V
bebera,bebeɾa,TVTVRV,TV.TV.RV,CV.CV.CV
béço,beːso,TVSV,TV.SV,CV.CV
bíar,biːaɾ,TVVR,TV.VR,CV.VC
bemfeito,bemfeito,TVRTVGTV,TVR.TVG.TV,CVC.CVV.CV
bemfeto,bemfeto,TVRTVTV,TVR.TV.TV,CVC.CV.CV
bemfeitos,bemfeitos,TVRTVGTVS,TVR.TVG.TVS,CVC.CVV.CVC
bença,bensa,TVRSV,TVR.SV,CVC.CV
bencè,benseː,TVRSV,TVR.SV,CVC.CV
bendição,bendisaːo,TVRTVSVV,TVR.TV.SV.V,CVC.CV.CV.V
beneficaçan,benefikasan,TVRVTVTVSVR,TV.RV.TV.TV.SVR,CV.CV.CV.CV.CVC
benigdade,benigdade,TVRVTTVTV,TV.RV.T.TV.TV,CV.CV.C.CV.CV
benzê,benzeː,TVRSV,TVR.SV,CVC.CV
benzà,benzaː,TVRSV,TVR.SV,CVC.CV
bénza,beːnza,TVRSV,TVR.SV,CVC.CV
bénzè,beːnzeː,TVRSV,TVR.SV,CVC.CV
berguer,beɾgeɾ,TVRTVR,TVR.TVR,CVC.CVC
beryl,beɾil,TVRVR,TV.RVR,CV.CVC
béudo,beːudo,TVVTV,TV.V.TV,CV.V.CV
beudice,beudise,TVGTVSV,TVG.TV.SV,CVV.CV.CV
baibol,baibol,TVVTVR,TV.V.TVR,CV.V.CVC
baibol nomes,baibol nomes,TVVTVR RVRVS,TV.V.TVR RV.RVS,CV.V.CVC CV.CVC
bibora,biboɾa,TVTVRV,TV.TV.RV,CV.CV.CV
bijá,bid̠ʒaː,TVTV,TV.TV,CV.CV
billiard,biliaɾd,TVRVVRT,TV.RV.VR.T,CV.CV.VC.C
billiard cámber,biliaɾd kaːmbeɾ,TVRVVRT TVRTVR,TV.RV.VR.T TVR.TVR,CV.CV.VC.C CVC.CVC
bill,bil,TVR,TVR,CVC
bisiga,biziga,TVSVTV,TV.SV.TV,CV.CV.CV
bispada,bispada,TVSTVTV,TVS.TV.TV,CVC.CV.CV
blada,blada,TRVTV,TRV.TV,CCV.CV
bladè,bladeː,TRVTV,TRV.TV,CCV.CV
blanket,blanket,TRVRTVT,TRVR.TV.T,CCVC.CV.C
blasphemaçan,blasfemasan,TRVSTVRVSVR,TRVS.TV.RV.SVR,CCVC.CV.CV.CVC
blasphemoso,blasfemozo,TRVSTVRVSV,TRVS.TV.RV.SV,CCVC.CV.CV.CV
bõa,boːa,TVV,TV.V,CV.V
bôt,boːt,TVT,TV.T,CV.C
bobra,bobɾa,TVTRV,TV.TRV,CV.CCV
bocadè,bokadeː,TVTVTV,TV.TV.TV,CV.CV.CV
bodrimo,bodɾimo,TVTRVRV,TV.TRV.RV,CV.CCV.CV
boffetado,bofetado,TVTVTVTV,TV.TV.TV.TV,CV.CV.CV.CV
boftiá,boftiaː,TVTTVV,TV.T.TV.V,CV.C.CV.V
buftiá,buftiaː,TVTTVV,TV.T.TV.V,CV.C.CV.V
boftada,boftada,TVTTVTV,TV.T.TV.TV,CV.C.CV.CV
boltiá,boltiaː,TVRTVV,TVR.TV.V,CVC.CV.V
bom,bom,TVR,TVR,CVC
bonancè,bonanseː,TVRVRSV,TV.RVR.SV,CV.CVC.CV
bonino,bonino,TVRVRV,TV.RVRV,CV.CVCV
buts,buts,TVTS,TV.TS,CV.CC
bordè,boɾdeː,TVRTV,TVR.TV,CVC.CV
bordiá,boɾdiaː,TVRTVV,TVR.TV.V,CVC.CV.V
borrecido,boresido,TVRVSVTV,TV.RV.SV.TV,CV.CV.CV.CV
bota,bota,TVTV,TV.TV,CV.CV
botle,botle,TVTRV,TV.TRV,CV.CCV
botei,botei,TVTVG,TV.TVG,CV.CVV
bottal,botːal,TVTVR,TV.TVR,CV.CVC
bottle vinho,botːle ʋiɲo,TVTRV TVRV,TV.TRV TV.RV,CV.CCV CV.CV
boutic,boutik,TVGTVT,TVG.TV.T,CVV.CV.C
boutiqueiro,boutikeiɾo,TVGTVTVGRV,TVG.TV.TVG.RV,CVV.CV.CVV.CV
boventade,boʋentade,TVTVRTVTV,TV.TVR.TV.TV,CV.CVC.CV.CV
bovantade,boʋantade,TVTVRTVTV,TV.TVR.TV.TV,CV.CVC.CV.CV
boventademente,boʋentademente,TVTVRTVTVRVRTV,TV.TVR.TV.TV.RVR.TV,CV.CVC.CV.CV.CVC.CV
bocs,boks,TVTS,TV.TS,CV.CC
branca,bɾanka,TRVRTV,TRVR.TV,CCVC.CV
branda,bɾanda,TRVRTV,TRVR.TV,CCVC.CV
brandi,bɾandi,TRVRTV,TRVR.TV,CCVC.CV
branquéza,bɾankeːza,TRVRTVSV,TRVR.TV.SV,CCVC.CV.CV
brao,bɾao,TRVV,TRV.V,CCV.V
brau,bɾau,TRVG,TRVG,CCVV
braviá,bɾaʋiaː,TRVTVV,TRV.TV.V,CCV.CV.V
brazá,bɾazaː,TRVSV,TRV.SV,CCV.CV
bremellio,bɾemelio,TRVRVRVV,TRV.RVRV.V,CCV.CVCV.V
brimellio,bɾimelio,TRVRVRVV,TRV.RVRV.V,CCV.CVCV.V
brimalho,bɾimaʎo,TRVRVRV,TRV.RVRV,CCV.CVCV
brimejo,bɾimed̠ʒo,TRVRVTV,TRV.RV.TV,CCV.CV.CV
brinc' de fogo,bɾin k ə de fogo,TRVR T V TV TVTV,TRVR T V TV TV.TV,CCVC C V CV CV.CV
búrdar,buːɾdaɾ,TVRTVR,TVR.TVR,CVC.CVC
bruffà,bɾufaː,TRVTV,TRV.TV,CCV.CV
bruffador,bɾufadoɾ,TRVTVTVR,TRV.TV.TVR,CCV.CV.CVC
bruffamento,bɾufamento,TRVTVRVRTV,TRV.TV.RVR.TV,CCV.CV.CVC.CV
bruço,bɾuso,TRVSV,TRV.SV,CCV.CV
buco,buko,TVTV,TV.TV,CV.CV
búku,buːku,TVTV,TV.TV,CV.CV
bunaca,bunaka,TVRVTV,TV.RV.TV,CV.CV.CV
bunito,bunito,TVRVTV,TV.RV.TV,CV.CV.CV
burà,buɾaː,TVRV,TV.RV,CV.CV
burcê,buɾseː,TVRSV,TVR.SV,CVC.CV
burçá,buɾsaː,TVRSV,TVR.SV,CVC.CV
burdade,buɾdade,TVRTVTV,TVR.TV.TV,CVC.CV.CV
búru,buːɾu,TVRV,TV.RV,CV.CV
busca,buska,TVSTV,TVS.TV,CVC.CV
caba,kaba,TVTV,TV.TV,CV.CV
cava,kaʋa,TVTV,TV.TV,CV.CV
cabai,kabai,TVTVV,TV.TV.V,CV.CV.V
cabaya,kabaja,TVTVRV,TV.TV.RV,CV.CV.CV
cuobai,kuobai,TVVTVV,TV.V.TV.V,CV.V.CV.V
cabeça,kabesa,TVTVSV,TV.TV.SV,CV.CV.CV
cabeçé,kabeseː,TVTVSV,TV.TV.SV,CV.CV.CV
cabelho,kabeʎo,TVTVRV,TV.TV.RV,CV.CV.CV
cabrado,kabɾado,TVTRVTV,TV.TRV.TV,CV.CCV.CV
caçaria,kasaɾia,TVSVRVV,TV.SV.RV.V,CV.CV.CV.V
cacada,kakada,TVTVTV,TV.TV.TV,CV.CV.CV
cacho,kat̠ʃo,TVTV,TV.TV,CV.CV
cachór,kat̠ʃoːɾ,TVTVR,TV.TVR,CV.CVC
cachorinho,kat̠ʃoɾiɲo,TVTVRVRV,TV.TV.RVRV,CV.CV.CVCV
cadahora,kadaoɾa,TVTVVRV,TV.TV.V.RV,CV.CV.V.CV
cadora,kadoɾa,TVTVRV,TV.TV.RV,CV.CV.CV
cadhor,kadoɾ,TVTVR,TV.TVR,CV.CVC
cadhum,kadum,TVTVR,TV.TVR,CV.CVC
cadè,kadeː,TVTV,TV.TV,CV.CV
cadéra,kadeːɾa,TVTVRV,TV.TV.RV,CV.CV.CV
cadia,kadia,TVTVV,TV.TV.V,CV.CV.V
caflà,kaflaː,TVTRV,TV.TRV,CV.CCV
caflação,kaflasaːo,TVTRVSVV,TV.TRV.SV.V,CV.CCV.CV.V
cafrana,kafɾana,TVTRVRV,TV.TRV.RV,CV.CCV.CV
cahidas per traz,kaidas peɾ tɾas,TVVTVS TVR TRVS,TV.V.TVS TVR TRVS,CV.V.CVC CVC CCVC
caix,kaiʃ,TVVT,TV.V.T,CV.V.C
calão,kalaːo,TVRVV,TV.RV.V,CV.CV.V
càlis,kaːlis,TVRVS,TV.RVS,CV.CVC
calmo,kalmo,TVRRV,TVR.RV,CVC.CV
calquinha,kalkiɲa,TVRTVRV,TVR.TV.RV,CVC.CV.CV
calsão,kalsaːo,TVRSVV,TVR.SV.V,CVC.CV.V
calvàri,kalʋaːɾi,TVRTVRV,TVR.TV.RV,CVC.CV.CV
cambiador,kambiadoɾ,TVRTVVTVR,TVR.TV.V.TVR,CVC.CV.V.CVC
cambra,kambɾa,TVRTRV,TVR.TRV,CVC.CCV
cambrè,kambɾeː,TVRTRV,TVR.TRV,CVC.CCV
càmber,kaːmbeɾ,TVRTVR,TVR.TVR,CVC.CVC
cambrão,kambɾaːo,TVRTRVV,TVR.TRV.V,CVC.CCV.V
cam'rado,kaməɾado,TVRVRVTV,TV.RVRV.TV,CV.CVCV.CV
cambrado,kambɾado,TVRTRVTV,TVR.TRV.TV,CVC.CCV.CV
campal,kampal,TVRTVR,TVR.TVR,CVC.CVC
can',kanə,TVRV,TV.RV,CV.CV
candè,kandeː,TVRTV,TVR.TV,CVC.CV
canàlhi,kanaːʎi,TVRVRV,TV.RVRV,CV.CVCV
cançàs,kansaːs,TVRSVS,TVR.SVS,CVC.CVC
câncer,kaːnseɾ,TVRSVR,TVR.SVR,CVC.CVC
candecera,kandeseɾa,TVRTVSVRV,TVR.TV.SV.RV,CVC.CV.CV.CV
can'cera,kanəseɾa,TVRVSVRV,TV.RV.SV.RV,CV.CV.CV.CV
